iter	RMSE
0	3985.767057
1	3537.447526
2	3186.654233
3	2904.824409
4	2690.172333
5	2524.072312
6	2394.553204
7	2299.888139
8	2225.327029
9	2167.58731
10	2124.677038
11	2070.11236
12	2028.547302
13	1998.36109
14	1972.10743
15	1951.751615
16	1935.58356
17	1922.342677
18	1912.408098
19	1903.13287
20	1894.89232
21	1873.43651
22	1855.342751
23	1841.890173
24	1831.438148
25	1823.580272
26	1816.243266
27	1806.527646
28	1800.570034
29	1794.089565
30	1790.076806
31	1785.494788
32	1782.15414
33	1777.084395
34	1773.716372
35	1769.536952
36	1766.827277
37	1763.069155
38	1760.093187
39	1756.363915
40	1753.217801
41	1751.521801
42	1747.373844
43	1745.050625
44	1741.962153
45	1738.273115
46	1735.482326
47	1732.46541
48	1729.892303
49	1727.99748
50	1725.084134
51	1722.103559
52	1719.87772
53	1717.127554
54	1715.278006
55	1712.858403
56	1710.644039
57	1707.991114
58	1706.18709
59	1703.781691
