iter	Passed	Remaining
0	91	5417
1	182	5303
2	272	5173
3	364	5103
4	455	5015
5	557	5015
6	663	5026
7	754	4906
8	846	4797
9	951	4755
10	1043	4649
11	1140	4563
12	1235	4465
13	1328	4366
14	1421	4263
15	1511	4156
16	1610	4073
17	1701	3970
18	1798	3880
19	1895	3791
20	1993	3702
21	2085	3601
22	2175	3499
23	2279	3419
24	2370	3319
25	2464	3222
26	2565	3135
27	2662	3043
28	2755	2946
29	2848	2848
30	2947	2757
31	3040	2660
32	3131	2562
33	3224	2465
34	3315	2368
35	3409	2272
36	3500	2176
37	3593	2080
38	3687	1985
39	3779	1889
40	3874	1795
41	3968	1700
42	4061	1605
43	4157	1511
44	4249	1416
45	4342	1321
46	4432	1226
47	4524	1131
48	4615	1036
49	4720	944
50	4825	851
51	4942	760
52	5037	665
53	5129	569
54	5221	474
55	5316	379
56	5407	284
57	5501	189
58	5593	94
59	5691	0
