iter	MAE
0	9.814481772
1	9.611515699
2	9.388716496
3	9.221256257
4	9.006880558
5	8.929077588
6	8.776827856
7	8.684262057
8	8.556673185
9	8.505936182
10	8.392359519
11	8.27091067
12	8.171922276
13	8.095871166
14	8.042722517
15	8.012464543
16	7.952674246
17	7.790917246
18	7.744629386
19	7.665211587
20	7.625220305
21	7.510950291
22	7.416495512
23	7.335162035
24	7.287476203
25	7.188044644
26	7.165407539
27	7.066206238
28	6.967327713
29	6.924133101
30	6.895777831
31	6.85761968
32	6.797901119
33	6.76126359
34	6.736301154
35	6.702519346
36	6.678134897
37	6.653441332
38	6.627378403
39	6.60027349
40	6.544069329
41	6.525793545
42	6.514246813
43	6.473159096
44	6.438379658
45	6.423033783
46	6.402825833
47	6.364828647
48	6.344267283
49	6.308071177
50	6.292730411
51	6.268068852
52	6.252708567
53	6.231669126
54	6.221629326
55	6.206163502
56	6.189279062
57	6.154372939
58	6.135146502
59	6.120642801
60	6.09170425
61	6.073369255
62	6.058903662
63	6.036147577
64	6.016711856
65	5.99008429
66	5.974587899
67	5.958074507
68	5.952258866
69	5.939558467
70	5.922431959
71	5.911184544
72	5.895436015
73	5.888064132
74	5.881508362
75	5.875605461
76	5.870024587
77	5.854442553
78	5.849110861
79	5.838817486
80	5.825345458
81	5.810737811
82	5.801204277
83	5.784562977
84	5.780206419
85	5.772087885
86	5.763071722
87	5.740231657
88	5.731281051
89	5.721818229
90	5.713141915
91	5.697043845
92	5.686634848
93	5.676828256
94	5.664646113
95	5.659377152
96	5.648394539
97	5.643022054
98	5.637305001
99	5.628779847
