iter	Passed	Remaining
0	12	1211
1	13	665
2	14	479
3	16	388
4	17	330
5	18	292
6	19	263
7	20	241
8	22	224
9	23	210
10	24	199
11	26	190
12	27	182
13	28	174
14	29	167
15	30	162
16	32	156
17	33	151
18	34	147
19	35	143
20	36	139
21	38	135
22	39	131
23	40	128
24	41	124
25	42	122
26	44	119
27	45	116
28	46	113
29	47	110
30	48	108
31	49	105
32	51	103
33	52	101
34	53	99
35	54	96
36	55	95
37	57	93
38	58	90
39	59	88
40	60	87
41	61	85
42	62	83
43	64	81
44	65	79
45	66	78
46	67	76
47	68	74
48	70	73
49	71	71
50	72	69
51	73	68
52	75	66
53	76	64
54	77	63
55	78	61
56	79	60
57	80	58
58	82	57
59	83	55
60	84	54
61	86	52
62	87	51
63	88	49
64	89	48
65	90	46
66	92	45
67	93	43
68	94	42
69	95	40
70	96	39
71	97	38
72	99	36
73	100	35
74	101	33
75	102	32
76	103	31
77	105	29
78	106	28
79	107	26
80	108	25
81	109	24
82	111	22
83	112	21
84	113	20
85	114	18
86	115	17
87	117	15
88	118	14
89	119	13
90	120	11
91	122	10
92	123	9
93	124	7
94	125	6
95	126	5
96	128	3
97	129	2
98	130	1
99	131	0
